  1 This software is NOT part of Wordnet. and is being provided to you
  2 by Manu Konchady under the Perl Artistic License (PAL)
  3 This is the data file for additional words in the Wordnet format
  4 Do not edit this file. Change the .dat files and rerun masher.pl
00000268 00 a 01 open_source 0 000 | of or relating to or being computer software for which the source code is freely available
00005636 00 o 02 because 0 due_to 0 000 |
00005678 00 o 01 because_of 0 000 |
00005714 00 o 02 before 0 earlier 0 000 |
00005756 00 o 01 behind 0 000 |
00005788 00 o 03 below 0 beneath 0 under 0 000 |
00005837 00 o 01 beside 0 000 |
00005869 00 o 01 besides 0 000 |
00005902 00 o 01 between 0 000 |
00005935 00 o 01 beyond 0 000 |
00005967 00 o 01 but 0 000 |
00005996 00 o 02 by 0 past 0 000 |
00006031 00 o 01 by_means_of 0 000 |
00006068 00 o 01 by_way_of 0 000 |
00006103 00 o 02 contingent 0 depending_on 0 000 |
00006154 00 o 01 contrary_to 0 000 |
00006191 00 o 02 deserved 0 due 0 000 |
00006231 00 o 01 despite 0 000 |
00006264 00 o 01 down 0 000 |
00006294 00 o 01 during 0 000 |
00006326 00 o 02 except 0 excluding 0 000 |
00006370 00 o 01 except_for 0 000 |
00006406 00 o 01 excepting 0 000 |
00006441 00 o 01 following 0 000 |
00006476 00 o 01 for 0 000 |
00006505 00 o 01 from 0 000 |
00006535 00 o 01 in 0 000 |
00006563 00 o 01 in_accordance_with 0 000 |
00006607 00 o 01 in_addition_to 0 000 |
00006647 00 o 01 in_charge_of 0 000 |
00006685 00 o 01 in_conjunction_with 0 000 |
00006730 00 o 01 in_connection_with 0 000 |
00006774 00 o 01 in_favour_of 0 000 |
00006812 00 o 01 in_front_of 0 000 |
00006849 00 o 01 in_line_with 0 000 |
00006887 00 o 01 in_respect_of 0 000 |
00006926 00 o 01 in_response_to 0 000 |
00006966 00 o 01 in_search_of 0 000 |
00007004 00 o 01 in_spite_of 0 000 |
00007041 00 o 01 in_support_of 0 000 |
00007080 00 o 01 in_terms_of 0 000 |
00007117 00 o 01 in_the_light_of 0 000 |
00007158 00 o 01 in_touch_with 0 000 |
00007197 00 o 01 in_view_of 0 000 |
00007233 00 o 01 including 0 000 |
00007268 00 o 01 inside 0 000 |
00007300 00 o 01 inside_of 0 000 |
00007335 00 o 01 instead_of 0 000 |
00007371 00 o 01 into 0 000 |
00007401 00 o 01 let_alone 0 000 |
00007436 00 o 01 like 0 000 |
00007466 00 o 01 minus 0 000 |
00007497 00 o 01 near 0 000 |
00007527 00 o 01 next_to 0 000 |
00007560 00 o 01 of 0 000 |
00007588 00 o 01 off 0 000 |
00007617 00 o 01 on 0 000 |
00007645 00 o 01 on_account_of 0 000 |
00007684 00 o 01 on_behalf_of 0 000 |
00007722 00 o 01 on_the_part_of 0 000 |
00007762 00 o 01 on_to 0 000 |
00007793 00 o 01 on_top_of 0 000 |
00007828 00 o 01 onto 0 000 |
00007858 00 o 01 opposite 0 000 |
00007892 00 o 01 other_than 0 000 |
00007928 00 o 01 out 0 000 |
00007957 00 o 01 out_of 0 000 |
00007989 00 o 01 outside 0 000 |
00008022 00 o 01 per 0 000 |
00008051 00 o 01 plus 0 000 |
00008081 00 o 01 prior_to 0 000 |
00008115 00 o 01 rather_than 0 000 |
00008152 00 o 01 regardless_of 0 000 |
00008191 00 o 01 relative_to 0 000 |
00008228 00 o 01 since 0 000 |
00008259 00 o 01 subject_to 0 000 |
00008295 00 o 01 such_as 0 000 |
00008328 00 o 01 through 0 000 |
00008361 00 o 01 throughout 0 000 |
00008397 00 o 01 till 0 000 |
00008427 00 o 01 to 0 000 |
00008455 00 o 01 toward 0 000 |
00008487 00 o 01 towards 0 000 |
00008520 00 o 01 underneath 0 000 |
00008556 00 o 01 unlike 0 000 |
00008588 00 o 01 until 0 000 |
00008619 00 o 01 up 0 000 |
00008647 00 o 01 up_to 0 000 |
00008678 00 o 01 upon 0 000 |
00008708 00 o 01 via 0 000 |
00008737 00 o 01 with 0 000 |
00008767 00 o 01 within 0 000 |
00008799 00 o 01 without 0 000 |
00008832 00 o 01 worth 0 000 |
00008863 00 p 01 'em 0 000 |
00008892 00 p 01 all 0 000 |
00008921 00 p 01 another 0 000 |
00008954 00 p 01 any 0 000 |
00008983 00 p 01 anybody 0 000 |
00009016 00 p 01 anyone 0 000 |
00009048 00 p 01 anything 0 000 |
00009082 00 p 01 both 0 000 |
00009112 00 p 01 each 0 000 |
00009142 00 p 01 each_other 0 000 |
00009178 00 p 01 everybody 0 000 |
00009213 00 p 01 everyone 0 000 |
00009247 00 p 01 everything 0 000 |
00009283 00 p 01 few 0 000 |
00009312 00 p 01 he 0 000 |
00009340 00 p 02 he'd 0 he_would 0 000 |
00009381 00 p 02 he'll 0 he_will 0 000 |
00009422 00 p 01 her 0 000 |
00009451 00 p 01 hers 0 000 |
00009481 00 p 01 herself 0 000 |
00009514 00 p 01 him 0 000 |
00009543 00 p 01 himself 0 000 |
00009576 00 p 01 his 0 000 |
00009605 00 p 01 i 0 000 |
00009632 00 p 02 i'd 0 i_would 0 000 |
00009671 00 p 02 i'll 0 i_will 0 000 |
00009710 00 p 02 i'm 0 i_am 0 000 |
00009746 00 p 02 i've 0 i_have 0 000 |
00009785 00 p 01 it 0 000 |
00009813 00 p 02 it'll 0 it_will 0 000 |
00009854 00 p 01 its 0 000 |
00009883 00 p 01 itself 0 000 |
00009915 00 p 01 lots 0 000 |
00009945 00 p 01 me 0 000 |
00009973 00 p 01 mine 0 000 |
00010003 00 p 01 my 0 000 |
00010031 00 p 01 myself 0 000 |
00010063 00 p 01 neither 0 000 |
00010096 00 p 01 no-one 0 000 |
00010128 00 p 01 no_one 0 000 |
00010160 00 p 01 nobody 0 000 |
00010192 00 p 01 none 0 000 |
00010222 00 p 01 nothing 0 000 |
00010255 00 p 01 one 0 000 |
00010284 00 p 01 one_another 0 000 |
00010321 00 p 01 others 0 000 |
00010353 00 p 01 our 0 000 |
00010382 00 p 01 ours 0 000 |
00010412 00 p 01 ourself 0 000 |
00010445 00 p 01 ourselve 0 000 |
00010479 00 p 01 ourselves 0 000 |
00010514 00 p 01 plenty 0 000 |
00010546 00 p 01 several 0 000 |
00010579 00 p 01 she 0 000 |
00010608 00 p 01 some 0 000 |
00010638 00 p 01 somebody 0 000 |
00010672 00 p 01 someone 0 000 |
00010705 00 p 01 something 0 000 |
00010740 00 p 01 that 0 000 |
00010770 00 p 01 their 0 000 |
00010801 00 p 01 theirs 0 000 |
00010833 00 p 01 them 0 000 |
00010863 00 p 01 themselves 0 000 |
00010899 00 p 01 these 0 000 |
00010930 00 p 01 they 0 000 |
00010960 00 p 02 they'd 0 they_would 0 000 |
00011005 00 p 02 they'll 0 they_will 0 000 |
